Fabric Code,Name,Safety Lock,Min Alert Qty,Delivery Days,Per Yard Retail Price,Discontinue,Active,Vendor,UPC
birva,"test2","0","56","0","0.0000","No","No","Star","785963214752",""
CC-CD14-FB,"Gold Multi Hand Weaved Cotton Fabric","0","50","0","10.0000","No","Yes","Sierra","",""
CC-CD17-FB,"Teal & Natural Hand Weaved Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
CC-CD22-FB,"Antique Gold Hand Weaved Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
CC-CD29-FB,"Red & Gold Hand Weaved Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
CC-CD34-FB,"Sienna Multi Hand Weaved Cotton Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
CC-CD35-FB,"Blue & Beige Hand Weaved Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
CC-CD36-FB,"Blue Multi Hand Weaved Cotton Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
CC-CD37-FB,"Blue & Taupe Hand Weaved Cotton Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
CC-CD38-FB,"Black & Cream Hand Weaved Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
CC-CD42-FB,"Grey Hand Weaved Cotton Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
CC-CD43-FB,"Red Hand Weaved Cotton Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
CC-CD44-FB,"Black Hand Weaved Cotton Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
CC-MA1-FB,"Beige Casual Cotton Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
CC-MA2-FB,"Brown & Black Casual Cotton Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
CC-MA3-FB,"White Hand Weaved Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
CC-MA4-FB,"Gold & Black Casual Cotton Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
CC-MA5-FB,"Mocha & Teal Casual Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
CC-MA6-FB,"Black & Silver Casual Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
CC-MA7-FB,"Beige & Gold Casual Cotton Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
CC-MA71-FB,"White Multi Hand Weaved Cotton Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
CC-MA8-FB,"Brown & White Casual Cotton Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
CC-MABB26-FB,"Lemon Grass Hand Weaved Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
CC-MABB32-FB,"Plaid Casual Cotton Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
CC-MAMGBB02-FB,"Moss Green Casual Cotton Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
CC-MASB78-FB,"White & Beige Hand Weaved Cotton Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
CC-MASB81-FB,"Beige & Grey Casual Cotton Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
CC-SB73-FB,"Multi Casual Cotton Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
CC-TEALBB29-FB,"Teal Hand Weaved Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
CRC-MYTH04-FB,"Naomi Embroidered Cotton Crewel Fabric","0","0","0","5.0000","No","Yes","Star","",""
CRC-MYTH14-FB,"Sophie Embroidered Cotton Crewel Fabric","0","0","0","0.0000","No","Yes","Star","",""
CRC-MYTH72-FB,"Chantal Embroidered Cotton Crewel Fabric","0","0","0","0.0000","No","Yes","Star","",""
CRC-MYTH73-FB,"Elise Embroidered Cotton Crewel Fabric","0","0","0","0.0000","No","Yes","Star","",""
CRC-MYTH79-FB,"Aurora Embroidered Cotton Crewel Fabric","0","0","0","0.0000","No","Yes","Star","",""
CRC-MYTH809-FB,"Lorraine Embroidered Cotton Crewel Fabric","0","0","0","0.0000","No","Yes","Star","",""
DIS-ID1-FB,"Lily White Textured Dupioni Silk Fabric","0","0","3","0.0000","No","Yes","Star","123456",""
DIS-ID112-FB,"Chili Pepper Textured Dupioni Silk Fabric","10","0","30","8.0000","No","Yes","Star","1234567",""
DIS-ID124-FB,"Chocolate Textured Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Star","",""
DIS-ID15-FB,"Biscotti Textured Dupioni Silk Fabric","5","10","3","20.0000","No","Yes","Star","",""
DIS-ID20-FB,"Sunrise Gold Textured Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Star","",""
DIS-ID221-FB,"Navy Textured Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Star","",""
DIS-ID224-FB,"Black Textured Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Star","",""
DIS-ID37-FB,"Restful Green Textured Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Star","",""
DIS-ID50-FB,"Mocha Textured Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Star","",""
DIS-ID511-FB,"Silver Bell Textured Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Star","",""
