SKU,Price,Quantity,Status
"BOCH-120601-SW","119.00","0","Inactive"
"BOCH-KC21-108","0.00","323","Inactive"
"BOCH-KC21-120","0.00","159","Inactive"
"BOCH-KC21-84","0.00","80","Inactive"
"BOCH-KC21-96","0.00","269","Inactive"
"BOCH-KC23-84","0.00","0","Inactive"
"BOCH-KC23-96","0.00","0","Inactive"
"BOCH-KC25-108","0.00","87","Inactive"
"BOCH-KC25-84","0.00","75","Inactive"
"BOCH-KC25-96","0.00","94","Inactive"
"BOCH-KC26-84","0.00","198","Inactive"
"BOCH-KC26-96","0.00","190","Inactive"
"BOCH-KC27-108","0.00","0","Inactive"
"BOCH-KC27-120","0.00","119","Inactive"
"BOCH-KC27-84","0.00","0","Inactive"
"BOCH-KC27-96","0.00","269","Inactive"
"BOCH-KC33-108","0.00","0","Inactive"
"BOCH-KC33-120","0.00","11","Inactive"
"BOCH-KC33-84","0.00","54","Inactive"
"BOCH-KC33-96","0.00","0","Inactive"
"DIS-ID112-108","0.00","0","Inactive"
"DIS-ID112-120","0.00","0","Inactive"
"DIS-ID112-84","0.00","0","Inactive"
"DIS-ID112-96","0.00","0","Inactive"
"DIS-ID20-120","0.00","0","Inactive"
"DIS-ID221-108","0.00","0","Inactive"
"DIS-ID221-120","0.00","0","Inactive"
"DIS-ID221-96","0.00","0","Inactive"
"DIS-ID224-120","0.00","0","Inactive"
"DIS-ID50-108","0.00","41","Inactive"
"DIS-ID50-120","0.00","33","Inactive"
"DIS-ID7806-108","0.00","58","Inactive"
"DIS-ID7806-120","0.00","30","Inactive"
"DIS-ID9-108","0.00","92","Inactive"
"DIS-ID9-120","0.00","37","Inactive"
"EFSCH-20134G1-120","0.00","0","Inactive"
"EFSCH-AL450C4-SW","119.00","0","Inactive"
"FHLCH-YL5003-84","0.00","0","Inactive"
"JQCH-20122010-108","0.00","0","Inactive"
"JQCH-20122010-120","0.00","0","Inactive"
"JQCH-20122010-84","0.00","0","Inactive"
"JQCH-20122010-96","0.00","0","Inactive"
"JQCH-HANB10-108","119.00","75","Inactive"
